Bill Name,Long Title,Distance to Centroid,Silhouette Score
HB3082,"To amend the FAST Act to add activities relating to the extraction, recovery, or processing of certain materials to the definition of a critical project, and for other purposes.",0.6198820519264827,0.0106737945146867
HB8556,"To enact the Section 401 Certification Rule, and for other purposes.",0.6227392337897636,0.0251984155077832
HB9518,"To amend the Infrastructure Investment and Jobs Act to modify the eligibility requirements for certain small water storage and groundwater storage projects and to authorize the use of funds for certain additional Carey Act projects, and for other purposes.",0.6288477072612079,0.0080047340685635
HB8084,"To amend the Watershed Protection and Flood Prevention Act to allow additional flood prevention measures on certain lands, and for other purposes.",0.6309650134213747,0.0211614394599962
HB1810,"To reauthorize the Last Green Valley National Heritage Corridor and the Upper Housatonic Valley National Heritage Area, and for other purposes.",0.6312111426055557,0.0187566160323877
HB8383,"To amend the Water Resources Reform and Development Act of 2014 to improve provisions relating to the development of hydropower at Corps of Engineers facilities, and for other purposes.",0.6349149950224103,0.0079735641377081
HB1208,"To reauthorize the Crossroads of the American Revolution National Heritage Area, and for other purposes.",0.6360171531653105,0.0286157650863621
HB8090,To reauthorize funding for the Reclamation Climate Change and Water Program.,0.6373944636522598,0.0167379146746897
HB5000,"To appropriate funds to carry out certain Appalachian Regional Commission grant programs, and for other purposes.",0.6374617360974851,-0.0109185871707271
HB2845,"To extend the authorization of each of the National Coal Heritage Area and the Wheeling National Heritage Area in the State of West Virginia, and for other purposes.",0.6383183231320775,0.0380900373496985
HB1788,"To amend title XVII of the Energy Policy Act of 2005 relating to the eligibility for loan guarantees for projects relating to hydrogen production, delivery, infrastructure, storage, fuel cells, and end uses, and for other purposes.",0.6456081090869255,-0.0087367291316799
HB2993,"To authorize the Educational Partnerships for Innovation in Communities Program, and for other purposes.",0.6500556215074172,-0.0445584718962124
HB9245,To amend the Federal Fire Prevention and Control Act of 1974 to authorize appropriations for the United States Fire Administration and firefighter assistance grant programs.,0.6505838233875032,-0.010147195990936
HB8036,"To extend the National Flood Insurance Program, and for other purposes.",0.6634801868724746,0.0157789860811558
HB2962,"To repurpose funds provided for COVID relief that have not been obligated for purposes of infrastructure development, and for other purposes.",0.6691377282274291,0.0011268832786875
HB3896,To amend the Better Utilization of Investments Leading to Development Act of 2018 to authorize support in high-income economy countries for projects involving development or processing of covered critical materials if such support furthers the national security interests of the United States.,0.6737015037261888,0.0127380522786747
HB8451,"To direct the Attorney General to establish a grant program to allocate resources for remote search and rescue activities, and for other purposes.",0.6777091159113989,0.005720667692246
HB9337,"To amend the USA PATRIOT Act to designate critical infrastructures, and for other purposes.",0.6792573266778963,0.0130317732838864
HB6058,"To extend the authority of the Secretary of Defense to transfer funds for a certain study on per- and polyfluoroalkyl substance contamination in drinking water, and for other purposes.",0.679842968903563,-0.002336377371123
HB451,To amend the Internal Revenue Code of 1986 to increase the national limitation amount for qualified highway or surface freight transfer facility bonds.,0.6854071060485245,-0.0269626761119834
HB5351,"To ensure the United States maintains a competitive edge over China, and for other purposes.",0.6893554325243684,-0.0428294710620588
HB4754,To establish a 30-day deadline for the Joint Committee on the Library to approve or disapprove requests and other actions relating to the procedures for the replacement of statues donated by States for display in National Statuary Hall.,0.6940652895668531,-0.0345254087747042
HB7184,To amend the West Los Angeles Leasing Act of 2016 with respect to the definition of land use revenue.,0.7176004370094654,-0.0036077795464116
HB3188,"To direct the Administrator of the Small Business Administration to establish a forgivable loan program for remote recreational businesses, and for other purposes.",0.7258079171233075,0.0003435664029784
